id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
224517,"Brass: Birmingham",2018,1,8.41046,8.58956,48530,0,,,,,,1,,
161936,"Pandemic Legacy: Season 1",2015,2,8.37413,8.52365,54364,0,,,,,,2,1,
174430,Gloomhaven,2017,3,8.3419,8.57829,63333,0,,,,,,4,2,
342942,"Ark Nova",2021,4,8.33841,8.53265,47179,0,,,,,,3,,
233078,"Twilight Imperium: Fourth Edition",2017,5,8.23507,8.59062,24758,0,,,,,,5,3,
316554,"Dune: Imperium",2020,6,8.22979,8.43234,48542,0,,,,,,6,,
167791,"Terraforming Mars",2016,7,8.20661,8.35403,102081,0,,,,,,7,,
115746,"War of the Ring: Second Edition",2011,8,8.19266,8.54685,22174,0,,,,,,,4,1
187645,"Star Wars: Rebellion",2016,9,8.17041,8.41931,33315,0,,,,,,,5,
291457,"Gloomhaven: Jaws of the Lion",2020,10,8.14824,8.41858,35788,0,,,,,,10,7,
162886,"Spirit Island",2017,11,8.14468,8.34334,54058,0,,,,,,9,,
220308,"Gaia Project",2017,12,8.10883,8.3712,28114,0,,,,,,8,,
12333,"Twilight Struggle",2005,13,8.06302,8.24352,49468,0,,,,,,14,,2
182028,"Through the Ages: A New Story of Civilization",2015,14,8.04708,8.2778,32338,0,,,,,,11,,
84876,"The Castles of Burgundy",2011,15,8.01639,8.14286,63738,0,,,,,,17,,
193738,"Great Western Trail",2016,16,8.01507,8.18293,41571,0,,,,,,16,,
169786,Scythe,2016,17,7.98119,8.13289,85622,0,,,,,,22,,
246900,"Eclipse: Second Dawn for the Galaxy",2020,18,7.97691,8.44417,14431,0,,,,,,15,,
173346,"7 Wonders Duel",2015,19,7.9697,8.09326,97760,0,,,,,,23,,
28720,"Brass: Lancashire",2007,20,7.96321,8.19661,25433,0,,,,,,18,,
167355,Nemesis,2018,21,7.95252,8.2625,31979,0,,,,,,,12,
266507,"Clank! Legacy: Acquisitions Incorporated",2019,22,7.94631,8.52982,9796,0,,,,,,,8,
177736,"A Feast for Odin",2016,23,7.94325,8.16897,29529,0,,,,,,20,,
124361,Concordia,2013,24,7.93939,8.0907,41486,0,,,,,,21,,
397598,"Dune: Imperium – Uprising",2023,25,7.92098,8.73487,7709,0,,,,,,13,,
295770,Frosthaven,2022,26,7.9184,8.81689,7624,0,,,,,,12,6,
341169,"Great Western Trail: Second Edition",2021,27,7.90473,8.31937,13870,0,,,,,,19,,
205637,"Arkham Horror: The Card Game",2016,28,7.90074,8.1307,44178,0,,2,,,,,13,
312484,"Lost Ruins of Arnak",2020,29,7.89546,8.0719,46663,0,,,,,,29,,
120677,"Terra Mystica",2012,30,7.88718,8.05439,48665,0,,,,,,28,,
266192,Wingspan,2019,31,7.88599,8.03592,97291,0,,,,2,,40,,
237182,Root,2018,32,7.88578,8.07504,53987,0,,,,,,31,,12
192135,"Too Many Bones",2017,33,7.87338,8.33469,14257,0,,,,,,24,10,
164928,Orléans,2014,34,7.87077,8.05873,32265,0,,,,,,27,,
96848,"Mage Knight Board Game",2011,35,7.85191,8.08449,33687,0,,,,,,34,15,
251247,Barrage,2019,36,7.84819,8.16295,18629,0,,,,,,26,,
324856,"The Crew: Mission Deep Sea",2021,37,7.839,8.12728,19277,0,,,,1,,,,
199792,Everdell,2018,38,7.83814,8.01636,57590,0,,,,3,,43,,
183394,"Viticulture Essential Edition",2015,39,7.83274,7.98297,50110,0,,,,,,39,,
366013,"Heat: Pedal to the Metal",2022,40,7.79704,8.04643,26852,0,,,,6,,,,
285774,"Marvel Champions: The Card Game",2019,41,7.79683,8.11868,24566,0,,3,,,,,,
175914,"Food Chain Magnate",2015,42,7.79392,8.05447,20929,0,,,,,,35,,
256960,"Pax Pamir: Second Edition",2019,43,7.78769,8.17242,14870,0,,,,,,33,,
247763,"Underwater Cities",2018,44,7.78169,8.05512,20359,0,,,,,,37,,
284378,"Kanban EV",2020,45,7.77651,8.41739,8200,0,,,,,,25,,
521,Crokinole,1876,46,7.77299,8.04123,18656,0,,,,5,,,,
3076,"Puerto Rico",2002,47,7.77018,7.91143,71744,0,,,,,,47,,
295947,Cascadia,2021,48,7.76264,7.93703,42345,0,1,,,7,,,,
102794,"Caverna: The Cave Farmers",2013,49,7.75642,7.94118,35346,0,,,,,,44,,
